mal_id,title,title_english,title_japanese,title_synonyms,year,season,season_label,score,scored_by,rank,popularity,members,favorites,episodes,type,status,airing,approved,duration,rating,source,broadcast,aired_from,aired_to,trailer_url,is_hentai,is_japanese,studios,studios_count,producers,producers_count,licensors,licensors_count,genres,genres_count,themes,themes_count,demographics,demographics_count,synopsis_short,background_short,url
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,Solo Leveling Season 2: Arise from the Shadow,俺だけレベルアップな件 Season 2 -Arise from the Shadow-,Solo Leveling Second Season,2025,winter,Winter 2025,8.62,433943,96,337,691272,10849,13,TV,Finished Airing,False,True,23 min per ep,R - 17+ (violence & profanity),Web manga,Sundays at 00:00 (JST),2025-01-05T00:00:00+00:00,2025-03-30T00:00:00+00:00,https://www.youtube-nocookie.com/embed/GDMXGzjJzS4?enablejsapi=1&wmode=opaque&autoplay=1,False,True,A-1 Pictures,1,Aniplex|Crunchyroll|Sonilude|Netmarble|Kakao piccoma|D&C Media,6,,0,Action|Adventure|Fantasy,3,Adult Cast|Urban Fantasy,2,,0,"Sung Jin-Woo, dubbed the weakest hunter of all mankind, grows stronger by the day with the supernatural powers he has gained. However, keeping his skills hidden becomes more difficult as dungeon-relat...",,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow
58939,Sakamoto Days,Sakamoto Days,SAKAMOTO DAYS,,2025,winter,Winter 2025,7.59,202042,1701,565,449705,2530,11,TV,Finished Airing,False,True,23 min per ep,R - 17+ (violence & profanity),Manga,Saturdays at 23:00 (JST),2025-01-11T00:00:00+00:00,2025-03-22T00:00:00+00:00,https://www.youtube-nocookie.com/embed/CdnMoPIgC5s?enablejsapi=1&wmode=opaque&autoplay=1,False,True,TMS Entertainment,1,TV Tokyo|Shueisha,2,,0,Action|Comedy,2,Adult Cast|Organized Crime,2,Shounen,1,"The name Tarou Sakamoto once instilled fear in every villain. No other professional hitman matched his prowess, and fellow assassins revered him. However, Sakamoto fell in love. In five short years, h...",,https://myanimelist.net/anime/58939/Sakamoto_Days
58514,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,薬屋のひとりごと 第2期,The Pharmacist's Monologue|Drugstore Soliloquy,2025,winter,Winter 2025,8.91,201861,21,617,420506,6312,24,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 23:00 (JST),2025-01-10T00:00:00+00:00,2025-07-04T00:00:00+00:00,https://www.youtube-nocookie.com/embed/3BYutu3Pf_0?enablejsapi=1&wmode=opaque&autoplay=1,False,True,OLM|TOHO animation STUDIO,2,Dentsu|Square Enix|Nippon Television Network|TOHO animation|Sound Team Don Juan|Shogakukan|Imagica Infos,7,,0,Drama|Mystery,2,Historical|Medical,2,,0,"Using her wit and vast knowledge of medicines and poisons alike, Maomao played a pivotal role in solving a series of mysteries and conspiracies that plagued the imperial court. Having recently come to...","Kusuriya no Hitorigoto 2nd Season aired on Nippon TV's Friday Anime Night block. It was released on Blu-ray in four volumes by Toho from April 16, 2025, to October 15, 2025. The series adapts the thir...",https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season
57592,Dr. Stone: Science Future,Dr. Stone: Science Future,Dr.STONE SCIENCE FUTURE,Dr. Stone 4th Season,2025,winter,Winter 2025,8.25,123725,354,1016,268305,1160,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Thursdays at 22:00 (JST),2025-01-09T00:00:00+00:00,2025-03-27T00:00:00+00:00,https://www.youtube-nocookie.com/embed/zjBQrDy5wLU?enablejsapi=1&wmode=opaque&autoplay=1,False,True,TMS Entertainment,1,TOHO animation|Shueisha,2,,0,Adventure|Comedy|Sci-Fi,3,,0,Shounen,1,"Having resolved the crisis in the Petrification Kingdom, Senkuu and his companions gear up to deal directly with the mastermind behind the petrification phenomenon—who supposedly resides on the moon. ...",,https://myanimelist.net/anime/57592/Dr_Stone__Science_Future
57616,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You Season 2",君のことが大大大大大好きな100人の彼女 2期,Hyakkano 2nd Season,2025,winter,Winter 2025,7.92,72765,821,1654,157663,1251,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Manga,Sundays at 22:30 (JST),2025-01-12T00:00:00+00:00,2025-03-30T00:00:00+00:00,https://www.youtube-nocookie.com/embed/PoZVtpW5vjQ?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Bibury Animation Studios,1,Lantis|Movic|Bushiroad|Tokyo MX|Shueisha|Bandai Namco Music Live|Anici,7,,0,Comedy|Romance,2,Harem|Parody|School,3,Seinen,1,"Ever since Rentarou Aijou found out that he would meet a total of one hundred soulmates in high school, his life has been anything but boring. Now with six girlfriends—each with their own unique quirk...",,https://myanimelist.net/anime/57616/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo_2nd_Season
58502,Zenshuu.,Zenshu,全修。,,2025,winter,Winter 2025,7.58,62948,1723,1681,154364,894,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Original,Sundays at 23:45 (JST),2025-01-05T00:00:00+00:00,2025-03-23T00:00:00+00:00,https://www.youtube-nocookie.com/embed/tt_ci57IszQ?enablejsapi=1&wmode=opaque&autoplay=1,False,True,MAPPA,1,TV Tokyo|Movic|Bushiroad|Twin Engine|Rakuten|dugout,6,,0,Action|Fantasy,2,Isekai,1,,0,"After graduating from high school, Natsuko Hirose starts her career as an animator. Her talent quickly flourishes, and she makes her debut as a director in no time. Her first anime becomes a massive h...",,https://myanimelist.net/anime/58502/Zenshuu
59135,Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,I'm Getting Married to a Girl I Hate in My Class,クラスの大嫌いな女子と結婚することになった。,Kurakon|I Got Married to the Girl I Hate Most in Class,2025,winter,Winter 2025,6.76,69868,5749,1727,148847,805,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 23:30 (JST),2025-01-03T00:00:00+00:00,2025-03-21T00:00:00+00:00,https://www.youtube-nocookie.com/embed/RgyqkGLsZ2M?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Studio Gokumi|AXsiZ,2,Aniplex|Movic|Magic Capsule|Tokyo MX|BS11|Egg Firm|Kadokawa,7,,0,Comedy|Romance,2,,0,,0,"There is only one person that high school student Saito Houjou truly cannot stand—and that is his temperamental classmate, Akane Sakuramori. The two have always been on bad terms; their contrasting vi...",,https://myanimelist.net/anime/59135/Class_no_Daikirai_na_Joshi_to_Kekkon_suru_Koto_ni_Natta
56701,Watashi no Shiawase na Kekkon 2nd Season,My Happy Marriage Season 2,わたしの幸せな結婚,My Blissful Marriage,2025,winter,Winter 2025,7.41,44927,2430,1816,140033,648,13,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Novel,Mondays at 22:30 (JST),2025-01-06T00:00:00+00:00,2025-04-09T00:00:00+00:00,https://www.youtube-nocookie.com/embed/ZifkkwGBegE?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Kinema Citrus,1,Square Enix|Glovision|Toy's Factory|Miracle Bus|Kadokawa|Bandai Namco Music Live,6,,0,Drama|Fantasy|Romance,3,Adult Cast|Historical,2,,0,"Following the awakening of her Dream-Sight ability, Miyo Saimori reunites with her fiancé, Kiyoka Kudou, the captain of the special forces protecting the country against ill-intended individuals gifte...","Watashi no Shiawase na Kekkon 2nd Season was released on Blu-ray and DVD in three volumes by Kadokawa from April 25, 2025, to June 25, 2025. The series adapts the novel starting from the third volume.",https://myanimelist.net/anime/56701/Watashi_no_Shiawase_na_Kekkon_2nd_Season
55997,"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu","I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time",ギルドの受付嬢ですが、残業は嫌なのでボスをソロ討伐しようと思います,Girumasu,2025,winter,Winter 2025,6.65,59221,6409,1866,136377,403,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Saturdays at 00:00 (JST),2025-01-11T00:00:00+00:00,2025-03-29T00:00:00+00:00,https://www.youtube-nocookie.com/embed/_EnIDvUykhQ?enablejsapi=1&wmode=opaque&autoplay=1,False,True,CloverWorks,1,Aniplex|Movic|Half H.P Studio|Good Smile Company|BS11|Kadokawa,6,,0,Action|Adventure|Comedy|Fantasy,4,,0,,0,"Alina Clover becomes an adventurers' guild receptionist, believing that—unlike the adventurers who risk their lives every day to conquer dungeons—she will enjoy a safe and comfortable career with plen...",,https://myanimelist.net/anime/55997/Guild_no_Uketsukejou_desu_ga_Zangyou_wa_Iya_nanode_Boss_wo_Solo_Toubatsu_Shiyou_to_Omoimasu
59361,Kono Kaisha ni Suki na Hito ga Imasu,I Have a Crush at Work,この会社に好きな人がいます,Can You Keep a Secret?,2025,winter,Winter 2025,7.52,38818,1980,2023,122209,513,12,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Manga,Mondays at 23:00 (JST),2025-01-06T00:00:00+00:00,2025-03-24T00:00:00+00:00,https://www.youtube-nocookie.com/embed/OWEzSDduLps?enablejsapi=1&wmode=opaque&autoplay=1,False,False,Blade,1,VAP|Imagin|Nippon Columbia|KlockWorx|BS Fuji|Tokyo MX|bilibili|INSPION Edge,8,,0,Comedy|Romance,2,Adult Cast|Workplace,2,Seinen,1,"Coworkers Yui Mitsuya and Masugu Tateishi are the last people anyone would expect to get along—especially with their constant office quarrels. However, looks can be deceiving: they are actually dating...",,https://myanimelist.net/anime/59361/Kono_Kaisha_ni_Suki_na_Hito_ga_Imasu
