genre,total_anime,average_score,median_score,highest_score,lowest_score
Comedy,1597,6.84,6.88,9.05,2.99
Action,1142,7.01,7.04,9.11,2.86
Fantasy,1000,6.92,6.92,9.26,3.82
Romance,709,7.1,7.14,8.95,4.56
Adventure,608,7.0,6.96,9.26,5.01
Drama,569,7.31,7.3,9.26,5.08
Sci-Fi,510,6.86,6.83,9.07,2.86
Supernatural,408,7.14,7.14,8.98,3.83
Slice of Life,292,6.97,7.08,8.72,4.45
Mystery,288,7.18,7.21,8.91,4.66
Ecchi,256,6.71,6.68,8.96,4.7
Sports,189,7.14,7.12,8.77,2.99
Suspense,166,7.27,7.26,9.17,3.28
Horror,98,6.7,6.83,8.41,3.28
Gourmet,73,6.9,7.04,8.59,4.66
Girls Love,39,7.05,7.06,8.17,5.3
Award Winning,38,8.03,8.04,9.26,6.66
Boys Love,28,7.18,7.22,8.29,5.78
Avant Garde,21,6.7,6.5,8.14,5.66
Erotica,11,6.12,6.06,7.39,4.83
