year,season,season_label,total_anime,rated_anime,average_score,median_score,highest_score,lowest_score
2006,winter,Winter 2006,43,31,6.56,6.56,8.17,4.49
2006,spring,Spring 2006,75,64,6.94,6.89,8.93,5.43
2006,summer,Summer 2006,33,23,6.71,6.76,8.31,3.41
2006,fall,Fall 2006,61,50,7.01,7.01,8.71,5.56
2007,winter,Winter 2007,51,26,6.8,6.51,8.28,5.85
2007,spring,Spring 2007,61,54,7.06,7.16,8.64,5.28
2007,summer,Summer 2007,34,22,7.06,6.98,8.41,5.51
2007,fall,Fall 2007,49,37,7.0,7.03,8.26,5.21
2008,winter,Winter 2008,51,29,6.87,6.8,8.47,5.38
2008,spring,Spring 2008,63,46,7.08,7.14,8.91,5.82
2008,summer,Summer 2008,34,22,6.85,6.95,8.3,5.29
2008,fall,Fall 2008,54,42,7.17,7.19,8.93,5.29
2009,winter,Winter 2009,53,27,7.1,7.12,8.67,5.69
2009,spring,Spring 2009,53,43,7.02,7.18,9.1,4.77
2009,summer,Summer 2009,44,21,7.0,7.04,8.32,5.5
2009,fall,Fall 2009,56,37,7.06,7.16,8.2,5.67
2010,winter,Winter 2010,44,21,6.9,6.88,8.29,5.61
2010,spring,Spring 2010,56,34,7.07,6.88,8.55,5.95
2010,summer,Summer 2010,41,24,6.87,7.04,7.71,5.75
2010,fall,Fall 2010,50,32,7.0,7.2,8.17,5.42
2011,winter,Winter 2011,50,22,6.94,6.9,8.38,5.44
2011,spring,Spring 2011,86,57,6.88,6.77,9.07,5.41
2011,summer,Summer 2011,57,31,6.85,6.75,8.56,4.94
2011,fall,Fall 2011,58,35,7.04,7.06,9.03,5.51
2012,winter,Winter 2012,63,32,6.92,7.06,8.63,5.56
2012,spring,Spring 2012,71,49,6.99,6.97,8.54,5.7
2012,summer,Summer 2012,50,31,6.91,6.97,7.88,5.26
2012,fall,Fall 2012,66,44,7.11,7.28,9.02,5.15
2013,winter,Winter 2013,61,39,6.64,6.7,8.37,4.82
2013,spring,Spring 2013,75,50,6.67,6.68,8.57,5.3
2013,summer,Summer 2013,68,44,6.92,7.0,8.76,5.32
2013,fall,Fall 2013,68,49,6.98,7.02,8.61,5.18
2014,winter,Winter 2014,79,49,6.59,6.73,8.27,3.28
2014,spring,Spring 2014,82,65,6.76,6.59,8.68,5.34
2014,summer,Summer 2014,58,44,6.81,6.77,8.36,5.16
2014,fall,Fall 2014,71,50,7.05,7.12,8.72,5.1
2015,winter,Winter 2015,70,37,6.8,6.74,8.44,5.33
2015,spring,Spring 2015,76,54,6.83,6.85,9.05,3.34
2015,summer,Summer 2015,72,50,6.72,6.99,8.17,4.45
2015,fall,Fall 2015,81,61,6.67,6.56,8.62,4.62
2016,winter,Winter 2016,75,46,6.68,6.58,8.54,4.13
2016,fall,Fall 2016,95,70,6.65,6.75,8.77,4.68
2017,winter,Winter 2017,80,47,6.6,6.63,8.98,3.27
2017,spring,Spring 2017,93,66,6.58,6.6,8.61,4.56
2017,summer,Summer 2017,80,47,6.6,6.6,8.63,3.86
2017,fall,Fall 2017,79,60,6.65,6.64,8.9,4.25
2018,winter,Winter 2018,80,50,6.99,6.9,8.81,5.26
2018,spring,Spring 2018,91,71,6.74,6.78,8.55,2.99
2018,summer,Summer 2018,75,52,6.8,6.74,8.88,4.91
2018,fall,Fall 2018,79,56,6.74,6.8,8.58,4.57
2019,winter,Winter 2019,86,41,6.73,6.68,8.78,4.88
2019,spring,Spring 2019,62,48,6.8,6.6,9.05,5.32
2019,summer,Summer 2019,64,38,6.81,6.71,8.77,4.8
2019,fall,Fall 2019,72,49,6.86,6.73,8.45,5.02
2020,winter,Winter 2020,95,46,6.86,6.92,8.37,5.06
2020,spring,Spring 2020,72,51,6.74,6.53,8.83,5.4
2020,summer,Summer 2020,46,24,6.48,6.77,8.35,3.81
2020,fall,Fall 2020,71,52,6.9,6.88,8.56,5.17
2021,winter,Winter 2021,77,58,6.84,6.98,8.78,2.87
2021,spring,Spring 2021,70,53,6.91,6.89,8.94,5.11
2021,summer,Summer 2021,45,37,7.05,7.02,8.3,5.72
2021,fall,Fall 2021,66,49,6.83,6.83,8.72,4.67
2022,winter,Winter 2022,54,41,6.78,6.77,8.77,3.8
2022,spring,Spring 2022,62,52,7.09,7.05,8.97,5.5
2022,summer,Summer 2022,58,47,6.83,6.78,8.6,4.62
2022,fall,Fall 2022,67,51,7.15,7.23,8.99,4.99
2023,winter,Winter 2023,65,55,7.03,7.16,8.82,5.04
2023,spring,Spring 2023,74,53,7.03,7.25,8.55,5.25
2023,summer,Summer 2023,63,47,7.04,6.98,8.72,4.66
2023,fall,Fall 2023,88,65,7.03,7.09,9.29,5.42
2024,winter,Winter 2024,68,51,7.03,7.08,8.72,5.08
2024,spring,Spring 2024,71,57,7.16,7.27,8.72,5.23
2024,summer,Summer 2024,67,53,6.87,6.88,8.54,5.42
2024,fall,Fall 2024,84,64,7.13,7.13,8.7,5.62
2025,winter,Winter 2025,64,54,6.86,6.79,8.91,5.39
2025,spring,Spring 2025,78,57,6.87,6.98,8.57,5.29
2025,summer,Summer 2025,79,65,7.14,7.03,8.66,5.71
2025,fall,Fall 2025,74,55,6.92,6.85,9.02,5.33
