studio,total_anime,rated_anime,average_score,median_score,highest_score,lowest_score
CloverWorks,8,8,7.8,8.18,8.66,6.65
OLM,7,6,7.0,6.87,8.91,6.2
Studio Deen,7,7,6.45,6.24,7.17,6.06
LIDENFILMS,7,7,6.98,7.33,8.35,5.5
Imagica Infos,7,5,6.0,5.84,6.65,5.28
Imageworks Studio,7,5,6.0,5.84,6.65,5.28
Fanworks,7,1,6.92,6.92,6.92,6.92
TMS Entertainment,5,5,7.69,7.92,8.53,6.17
J.C.Staff,5,5,6.56,6.58,7.17,5.68
Bandai Namco Pictures,5,5,7.03,6.56,8.23,6.23
Zero-G,5,5,7.12,7.29,8.51,5.78
TOHO animation STUDIO,4,2,8.06,8.91,8.91,7.21
MAPPA,4,4,7.64,7.76,8.02,7.19
Studio Gokumi,4,4,6.88,6.76,8.13,6.11
Kinema Citrus,4,4,7.0,7.03,7.41,6.66
EMT Squared,4,4,6.64,7.13,7.35,5.65
Toei Animation,4,3,7.23,7.17,7.37,7.16
CygamesPictures,4,4,8.27,8.45,8.56,8.01
Lesprit,4,2,7.49,7.53,7.53,7.44
Nippon Animation,4,2,6.58,7.15,7.15,6.02
DLE,4,1,6.19,6.19,6.19,6.19
Bibury Animation Studios,3,3,7.23,7.39,7.92,6.39
SynergySP,3,3,6.39,6.56,6.61,6.01
Asahi Production,3,3,6.64,6.91,7.24,5.76
Satelight,3,3,6.16,6.31,6.78,5.4
Staple Entertainment,3,3,6.38,6.31,6.69,6.15
Quad,3,3,6.47,6.28,7.02,6.12
Passione,3,3,7.07,7.03,7.19,6.99
Yostar Pictures,3,3,7.33,7.12,7.79,7.08
Bridge,3,3,6.47,6.71,7.07,5.63
Bones Film,3,3,8.15,8.06,8.78,7.6
Makaria,3,3,6.96,6.92,7.11,6.84
Doga Kobo,3,3,7.31,7.25,7.6,7.07
feel.,3,3,7.1,7.22,7.36,6.71
Sunrise,3,3,7.05,7.02,7.12,7
P.A. Works,3,3,7.45,7.66,7.75,6.94
Kachidoki Studio,3,1,5.48,5.48,5.48,5.48
Toon Harbor Works,3,0,,,,
AXsiZ,2,2,6.63,6.76,6.76,6.51
Blade,2,2,6.98,7.52,7.52,6.44
Okuruto Noboru,2,2,6.53,6.72,6.72,6.34
